
[D1] :: 2000-2004.00 -> 2001-2005.01 -> 2002-2006.00 -> 2003-2007.00 -> 2004-2008.00 (132)
    <2000-2004.00 150> poverty, charter, income, afdc, schooling, family, school, earnings, college, consumption
    <2010-2014.08 195> npd, programme, portfolio, team, ppm, nuclear, change management, governance, openness, csfs
    <2011-2015.13 133> ppm, portfolio, stakeholder, change management, nuclear, governance, csfs, front end, risk management, agile
    <2012-2016.16 234> erp, lean, mncs, ppm, portfolio, stakeholder, change management, subsidiary, project, governance
    <2013-2017.12 173> erp, lean, ppm, portfolio, stakeholder, governmentality, project, risk management, accountability, project management
    <2014-2018.14 252> evm, ppm, erp, acap, portfolio, pms, stakeholder, knowledge protection, governmentality, project
    <2015-2019.20 221> ppm, erp, certification, megaprojects, pms, stakeholder, governmentality, sustainability, project, msr
    <2016-2020.19 134> ppm, storytelling, certification, megaprojects, sustainability, international development, stakeholder, accountability, project, msr
    <2017-2021.14 089> ppm, megaprojects, sustainability, international development, stakeholder, accountability, project, msr, spm, megaproject

[D19] :: 2006-2010.11 -> 2007-2011.11 -> 2008-2012.12 -> 2009-2013.12 -> 2010-2014.09 -> 2011-2015.10 -> 2012-2016.05 (52)
    See similar trends: D4: 29%, D11: 29%, D13: 43%, D18: 29%
    <2006-2010.11 146> hrm, pmo, leadership, project, stakeholder, project management, project based, project strategy, multiple project, pmbok
    <2007-2011.11 161> ihrm, hrm, pmo, leadership, programme, project, programme management, distributed leadership, stakeholder, project management
    <2008-2012.12 151> hrm, leadership, programme, project, change management, leadership development, programme management, distributed leadership, stakeholder, leader
    <2009-2013.12 030> leadership, identity, leadership development, distributed leadership, leader, authentic, project, collective memory, organizational identity, prototype
    <2010-2014.09 036> leadership, identity, leadership development, charismatic, distributed leadership, resistance, authentic, project, identity work, collective memory
    <2011-2015.10 053> leadership, identity, leadership development, charismatic, pms, distributed leadership, identity work, pregnant, leader, pmo
    <2012-2016.05 037> identity, pms, identity work, category, pmo, pregnancy, pregnant, categorization, pmos, collective memory

[D20] :: 2006-2010.12 -> 2007-2011.12 -> 2008-2012.14 -> 2009-2013.13 -> 2010-2014.11 -> 2011-2015.12 -> 2012-2016.14 -> 2013-2017.08 -> 2014-2018.12 -> 2015-2019.18 -> 2016-2020.17 -> 2017-2021.11 (65)
    See similar trends: D5: 67%, D9: 67%
    <2006-2010.12 151> knowledge, alliance, knowledge creation, construction, knowledge management, web, tacit knowing, tacit, smes, knowledge transfer
    <2007-2011.12 199> knowledge, alliance, open innovation, knowledge creation, smes, innovation, construction, knowledge management, web, tacit knowing
    <2008-2012.14 058> knowledge creation, smes, open innovation, innovation, knowledge, knowledge sharing, police, sharing, facilitator, consultancy
    <2009-2013.13 188> pkm, policy, subsidiary, knowledge creation, alliance, smes, open innovation, host unit, innovation, knowledge management
    <2010-2014.11 030> knowledge sharing, change readiness, knowledge, readiness, sharing, police, goal orientation, share knowledge, project, knowledge management
    <2011-2015.12 038> knowledge sharing, ignorance, change readiness, knowledge, readiness, sharing, knowledge acquisition, job engagement, organisation, share knowledge
    <2012-2016.14 057> cop, trust, knowledge sharing, ignorance, change readiness, readiness, community, generosity, knowledge, organisational
    <2013-2017.08 114> cop, alliance, trust, knowledge, knowledge sharing, socialization, ignorance, knowledge creation, lsp, kios
    <2014-2018.12 098> cop, knowledge, trust, ignorance, socialization, knowledge sharing, knowledge breadth, knowledge creation, knowledge management, kios
    <2015-2019.18 097> park, stp, knowledge, knowledge management, motivation, intrinsic motivation, ignorance, social capital, knowledge sharing, knowledge creation
    <2016-2020.17 121> family, park, stp, knowledge, knowledge management, knowledge integration, intrinsic motivation, organizational learning, seci, knowledge sharing
    <2017-2021.11 088> family, erp, knowledge, knowledge integration, intrinsic motivation, knowledge creation, motivation, knowledge sharing behaviour, erm, work family

[D21] :: 2007-2011.05 -> 2008-2012.08 -> 2009-2013.06 -> 2010-2014.03 -> 2011-2015.04 -> 2012-2016.00 -> 2013-2017.10 -> 2014-2018.09 -> 2015-2019.09 (86)
    <2007-2011.05 073> delphi, sustainability, foresight, ambidexterity, scenario, mlp, energy, icts, standardisation, corporate foresight
    <2008-2012.08 073> delphi, foresight, sustainability, forest, ambidexterity, scenario, mlp, icts, standardisation, ict development
    <2009-2013.06 092> delphi, foresight, ambidexterity, sustainability, forest, transport, scenario, strategic foresight, icts, ict development
    <2010-2014.03 061> delphi, foresight, sustainability, emergency, strategic foresight, disaster, standardisation, corporate foresight, sustainable development, corporate sustainability
    <2011-2015.04 080> trm, foresight, delphi, roadmapping, emergency, roadmaps, transport, public transport, strategic foresight, disaster
    <2012-2016.00 038> ewom, delphi, policy delphi, backcasting, emergency, public participation, disaster, twitter, sim, communicative
    <2013-2017.10 124> scf, scm, resilience, green, sci, disaster, scrm, agility, healthcare, emergency
    <2014-2018.09 157> gscm, scrm, vmi, scf, scm, cloud, eco, resilience, disaster, logistics
    <2015-2019.09 072> sscm, gscm, scrm, blockchain, scm, agility, bitcoin, supply, kmc, pricing

[D22] :: 2007-2011.06 -> 2008-2012.13 -> 2009-2013.13 -> 2010-2014.10 -> 2011-2015.14 -> 2012-2016.16 -> 2013-2017.12 (30)
    <2007-2011.06 037> institutional, subsidiary, mncs, mnes, mnc, mne, diamond, project, greenfield, knowledge
    <2008-2012.13 065> construction, knowledge, knowledge management, web, knowledge transfer, subsidiary, tacit, tacit knowledge, tacit knowing, transfer
    <2009-2013.13 188> pkm, policy, subsidiary, knowledge creation, alliance, smes, open innovation, host unit, innovation, knowledge management
    <2010-2014.10 158> ambidexterity, pkm, policy, subsidiary, design, knowledge creation, smes, innovation, knowledge management, knowledge
    <2011-2015.14 034> subsidiary, mncs, absorptive capacity, absorptive, mnc, headquarters, alliance, supplier, project, alliance portfolio
    <2012-2016.16 234> erp, lean, mncs, ppm, portfolio, stakeholder, change management, subsidiary, project, governance
    <2013-2017.12 173> erp, lean, ppm, portfolio, stakeholder, governmentality, project, risk management, accountability, project management

[D23] :: 2007-2011.12 -> 2008-2012.14 -> 2009-2013.13 -> 2010-2014.10 -> 2011-2015.15 -> 2012-2016.15 -> 2013-2017.08 -> 2014-2018.12 -> 2015-2019.18 -> 2016-2020.17 -> 2017-2021.11 (7)
    See similar trends: D5: 91%, D6: 36%, D9: 91%, D12: 36%, D20: 73%
    <2007-2011.12 199> knowledge, alliance, open innovation, knowledge creation, smes, innovation, construction, knowledge management, web, tacit knowing
    <2008-2012.14 058> knowledge creation, smes, open innovation, innovation, knowledge, knowledge sharing, police, sharing, facilitator, consultancy
    <2009-2013.13 188> pkm, policy, subsidiary, knowledge creation, alliance, smes, open innovation, host unit, innovation, knowledge management
    <2010-2014.10 158> ambidexterity, pkm, policy, subsidiary, design, knowledge creation, smes, innovation, knowledge management, knowledge
    <2011-2015.15 042> knowledge management, knowledge, tacit, tacit knowing, tacit knowledge, knowledge transfer, project, transfer, knowledge manager, tacit knowledge sharing
    <2012-2016.15 048> kios, knowledge, socialization, tacit, tacit knowledge, hrd, knowledge management, knowledge transfer, transfer, knowledge manager
    <2013-2017.08 114> cop, alliance, trust, knowledge, knowledge sharing, socialization, ignorance, knowledge creation, lsp, kios
    <2014-2018.12 098> cop, knowledge, trust, ignorance, socialization, knowledge sharing, knowledge breadth, knowledge creation, knowledge management, kios
    <2015-2019.18 097> park, stp, knowledge, knowledge management, motivation, intrinsic motivation, ignorance, social capital, knowledge sharing, knowledge creation
    <2016-2020.17 121> family, park, stp, knowledge, knowledge management, knowledge integration, intrinsic motivation, organizational learning, seci, knowledge sharing
    <2017-2021.11 088> family, erp, knowledge, knowledge integration, intrinsic motivation, knowledge creation, motivation, knowledge sharing behaviour, erm, work family

[D24] :: 2008-2012.07 -> 2009-2013.10 -> 2010-2014.05 -> 2011-2015.06 -> 2012-2016.13 -> 2013-2017.10 -> 2014-2018.09 -> 2015-2019.09 -> 2016-2020.22 -> 2017-2021.15 (58)
    <2008-2012.07 036> iso, policy, transition, environmental, evolutionary, regulation, innovation, design, design policy, environmental innovation
    <2009-2013.10 130> erp, rfid, scm, lean, crisis, stockouts, auction, resilience, green, ict
    <2010-2014.05 163> erp, rfid, scm, lean, green, ebay, stockouts, sci, auction, ict
    <2011-2015.06 114> sscm, scm, green, rfid, sci, ict, sustainability, mixed, gscm, environmental management
    <2012-2016.13 078> scf, scm, green, healthcare, supply, cyber, cloud, green innovation, supply chain, sustainability
    <2013-2017.10 124> scf, scm, resilience, green, sci, disaster, scrm, agility, healthcare, emergency
    <2014-2018.09 157> gscm, scrm, vmi, scf, scm, cloud, eco, resilience, disaster, logistics
    <2015-2019.09 072> sscm, gscm, scrm, blockchain, scm, agility, bitcoin, supply, kmc, pricing
    <2016-2020.22 055> scres, scrm, blockchain, scm, supply, pricing, agility, trust, supply chain, ericsson
    <2017-2021.15 063> scres, gscm, scrm, blockchain, corruption, scm, subsidiary, trust, agility, supply chain

[D25] :: 2008-2012.07 -> 2009-2013.13 -> 2010-2014.10 -> 2011-2015.11 -> 2012-2016.07 -> 2013-2017.09 -> 2014-2018.07 -> 2015-2019.11 -> 2016-2020.14 -> 2017-2021.10 (69)
    <2008-2012.07 036> iso, policy, transition, environmental, evolutionary, regulation, innovation, design, design policy, environmental innovation
    <2009-2013.13 188> pkm, policy, subsidiary, knowledge creation, alliance, smes, open innovation, host unit, innovation, knowledge management
    <2010-2014.10 158> ambidexterity, pkm, policy, subsidiary, design, knowledge creation, smes, innovation, knowledge management, knowledge
    <2011-2015.11 053> policy, design, innovation, product design, ipp, collaboration, innovation policy, regulation, product form, eeg
    <2012-2016.07 069> innovation, regional innovation, policy, process innovation, policy mix, offshore wind, human capital, open innovation, innovation policy, exporting
    <2013-2017.09 042> innovation, open innovation, regional innovation, policy, policy mix, offshore wind, innovation policy, persistency, persistence, wind
    <2014-2018.07 111> ecosystem, ghg, ret, military, energy, wind, rebound, policy, offshore wind, rets
    <2015-2019.11 086> ghg, land, ret, policy, energy, military, arable land, technology upgrading, rets, offshore wind
    <2016-2020.14 067> gvc, energy, policy, military, technology upgrading, pvc, policy mix, orchestrating, upgrading, wind
    <2017-2021.10 044> gvc, policy, sti, technology upgrading, nrc, policy mix, orchestrating, upgrading, sti policy, gvcs

[D26] :: 2008-2012.08 -> 2009-2013.06 -> 2010-2014.03 -> 2011-2015.04 -> 2012-2016.09 -> 2013-2017.06 -> 2014-2018.10 -> 2015-2019.06 -> 2016-2020.12 -> 2017-2021.04 (84)
    <2008-2012.08 073> delphi, foresight, sustainability, forest, ambidexterity, scenario, mlp, icts, standardisation, ict development
    <2009-2013.06 092> delphi, foresight, ambidexterity, sustainability, forest, transport, scenario, strategic foresight, icts, ict development
    <2010-2014.03 061> delphi, foresight, sustainability, emergency, strategic foresight, disaster, standardisation, corporate foresight, sustainable development, corporate sustainability
    <2011-2015.04 080> trm, foresight, delphi, roadmapping, emergency, roadmaps, transport, public transport, strategic foresight, disaster
    <2012-2016.09 043> foresight, soes, narrative, strategic foresight, radar, corporate foresight, soe, planning, organisational, fiction
    <2013-2017.06 056> foresight, soes, narrative, technology foresight, strategic foresight, radar, oil shale, corporate foresight, sectoral, soe
    <2014-2018.10 060> foresight, soes, fla, narrative, technology foresight, open foresight, radar, oil shale, strategic foresight, corporate foresight
    <2015-2019.06 056> foresight, ocs, narrative, technology foresight, open foresight, knowledge collaboration, main path, radar, strategic foresight, corporate foresight
    <2016-2020.12 042> foresight, fla, ocs, technology foresight, open foresight, knowledge collaboration, strategic foresight, functional, soes, sectoral
    <2017-2021.04 043> foresight, ocs, technology foresight, open foresight, knowledge collaboration, strategic foresight, functional, sectoral, text mining, future of work

[D27] :: 2008-2012.10 -> 2009-2013.10 -> 2010-2014.05 -> 2011-2015.05 -> 2012-2016.16 -> 2013-2017.12 -> 2014-2018.01 -> 2015-2019.02 (48)
    See similar trends: D3: 38%, D4: 38%, D11: 38%, D18: 38%
    <2008-2012.10 129> rfid, scm, jit, tqm, crisis, lean, sscm, edi, ict, mixed
    <2009-2013.10 130> erp, rfid, scm, lean, crisis, stockouts, auction, resilience, green, ict
    <2010-2014.05 163> erp, rfid, scm, lean, green, ebay, stockouts, sci, auction, ict
    <2011-2015.05 030> erp, lean, lean management, lean production, enterprise, csfs, discharge, sustainability, erp system, pdm
    <2012-2016.16 234> erp, lean, mncs, ppm, portfolio, stakeholder, change management, subsidiary, project, governance
    <2013-2017.12 173> erp, lean, ppm, portfolio, stakeholder, governmentality, project, risk management, accountability, project management
    <2014-2018.01 034> lean, six sigma, sigma, management control, variability, process improvement, lean product development, lean product, lean service, lean operation
    <2015-2019.02 033> lean, six sigma, sigma, management control, variability, process improvement, lean product development, lean product, lean service, lean operation

[D28] :: 2009-2013.11 -> 2010-2014.08 -> 2011-2015.13 -> 2012-2016.16 -> 2013-2017.13 -> 2014-2018.15 (2)
    See similar trends: D13: 67%
    <2009-2013.11 094> career, programme, programme management, change management, csfs, project management, stakeholder, project, kpis, project based
    <2010-2014.08 195> npd, programme, portfolio, team, ppm, nuclear, change management, governance, openness, csfs
    <2011-2015.13 133> ppm, portfolio, stakeholder, change management, nuclear, governance, csfs, front end, risk management, agile
    <2012-2016.16 234> erp, lean, mncs, ppm, portfolio, stakeholder, change management, subsidiary, project, governance
    <2013-2017.13 057> npd, licensing, sustainability, csfs, creativity, npd portfolio, supervision, licensee, npd success, project
    <2014-2018.15 048> npd, licensing, sustainability, npd portfolio, csfs, licensee, npd success, project, portfolio, solution information

[D29] :: 2010-2014.03 -> 2011-2015.06 -> 2012-2016.12 -> 2013-2017.13 -> 2014-2018.15 -> 2015-2019.05 -> 2016-2020.11 -> 2017-2021.01 (10)
    See similar trends: D21: 12%, D26: 12%
    <2010-2014.03 061> delphi, foresight, sustainability, emergency, strategic foresight, disaster, standardisation, corporate foresight, sustainable development, corporate sustainability
    <2011-2015.06 114> sscm, scm, green, rfid, sci, ict, sustainability, mixed, gscm, environmental management
    <2012-2016.12 057> npd, team, sustainability, creativity, npd portfolio, supplier, power, patent, marketing, marketing department
    <2013-2017.13 057> npd, licensing, sustainability, csfs, creativity, npd portfolio, supervision, licensee, npd success, project
    <2014-2018.15 048> npd, licensing, sustainability, npd portfolio, csfs, licensee, npd success, project, portfolio, solution information
    <2015-2019.05 056> licensing, patent, npes, litigation, novelty, patent portfolio, patent filing, patent litigation, licensee, lane
    <2016-2020.11 060> patent, licensing, npes, main path, technology transfer, litigation, novelty, patent portfolio, opposition, epo
    <2017-2021.01 087> trm, patent, thicket, delphi, licensing, npes, ebay, ipc, financial development, patent portfolio

[D30] :: 2010-2014.05 -> 2011-2015.05 -> 2012-2016.16 -> 2013-2017.12 -> 2014-2018.14 -> 2015-2019.20 -> 2016-2020.19 -> 2017-2021.14 (8)
    See similar trends: D3: 12%, D4: 12%, D11: 12%, D24: 12%
    <2010-2014.05 163> erp, rfid, scm, lean, green, ebay, stockouts, sci, auction, ict
    <2011-2015.05 030> erp, lean, lean management, lean production, enterprise, csfs, discharge, sustainability, erp system, pdm
    <2012-2016.16 234> erp, lean, mncs, ppm, portfolio, stakeholder, change management, subsidiary, project, governance
    <2013-2017.12 173> erp, lean, ppm, portfolio, stakeholder, governmentality, project, risk management, accountability, project management
    <2014-2018.14 252> evm, ppm, erp, acap, portfolio, pms, stakeholder, knowledge protection, governmentality, project
    <2015-2019.20 221> ppm, erp, certification, megaprojects, pms, stakeholder, governmentality, sustainability, project, msr
    <2016-2020.19 134> ppm, storytelling, certification, megaprojects, sustainability, international development, stakeholder, accountability, project, msr
    <2017-2021.14 089> ppm, megaprojects, sustainability, international development, stakeholder, accountability, project, msr, spm, megaproject

[D31] :: 2011-2015.02 -> 2012-2016.04 -> 2013-2017.02 -> 2014-2018.07 -> 2015-2019.11 -> 2016-2020.14 -> 2017-2021.10 (88)
    <2011-2015.02 065> backcasting, rebound, coal, emission, energy, ret, climate change, discursive, transition, renewable energy
    <2012-2016.04 084> rebound, energy, solar, emission, niche, carbon trust, fgd, carbon, ret, lifestyle
    <2013-2017.02 125> ets, rebound, paypal, military, ret, energy, emission, mobile, payment, ecosystem
    <2014-2018.07 111> ecosystem, ghg, ret, military, energy, wind, rebound, policy, offshore wind, rets
    <2015-2019.11 086> ghg, land, ret, policy, energy, military, arable land, technology upgrading, rets, offshore wind
    <2016-2020.14 067> gvc, energy, policy, military, technology upgrading, pvc, policy mix, orchestrating, upgrading, wind
    <2017-2021.10 044> gvc, policy, sti, technology upgrading, nrc, policy mix, orchestrating, upgrading, sti policy, gvcs

[D32] :: 2011-2015.03 -> 2012-2016.03 -> 2013-2017.02 -> 2014-2018.02 -> 2015-2019.01 (46)
    See similar trends: C3: 80%
    <2011-2015.03 033> solar, ecosystem, payment, wind, mobile payment, diffusion, bass, installers, seasonal, solar cell
    <2012-2016.03 030> paypal, mobile, ecosystem, payment, exhaustion, mobile payment, mobile banking, solar, innovation ecosystem, cash
    <2013-2017.02 125> ets, rebound, paypal, military, ret, energy, emission, mobile, payment, ecosystem
    <2014-2018.02 051> paypal, older, payment, mobile banking, older people, elderly, mobile, mobile payment, banking, cash
    <2015-2019.01 082> legitimacy, nfc, income, inequality, paypal, legitimation, older, payment, mobile banking, older people

[D33] :: 2011-2015.03 -> 2012-2016.03 -> 2013-2017.02 -> 2014-2018.07 -> 2015-2019.08 (17)
    See similar trends: C3: 40%
    <2011-2015.03 033> solar, ecosystem, payment, wind, mobile payment, diffusion, bass, installers, seasonal, solar cell
    <2012-2016.03 030> paypal, mobile, ecosystem, payment, exhaustion, mobile payment, mobile banking, solar, innovation ecosystem, cash
    <2013-2017.02 125> ets, rebound, paypal, military, ret, energy, emission, mobile, payment, ecosystem
    <2014-2018.07 111> ecosystem, ghg, ret, military, energy, wind, rebound, policy, offshore wind, rets
    <2015-2019.08 044> crowdsourcing, ecosystem, open innovation, wikipedia, keywords, crowd, evp, solar, innovation ecosystem, crowdsourcing project

[D35] :: 2011-2015.11 -> 2012-2016.07 -> 2013-2017.09 -> 2014-2018.13 -> 2015-2019.15 -> 2016-2020.15 -> 2017-2021.09 (70)
    See similar trends: D6: 43%, D12: 43%, D25: 43%
    <2011-2015.11 053> policy, design, innovation, product design, ipp, collaboration, innovation policy, regulation, product form, eeg
    <2012-2016.07 069> innovation, regional innovation, policy, process innovation, policy mix, offshore wind, human capital, open innovation, innovation policy, exporting
    <2013-2017.09 042> innovation, open innovation, regional innovation, policy, policy mix, offshore wind, innovation policy, persistency, persistence, wind
    <2014-2018.13 030> innovation, organizational innovation, regional innovation, process innovation, persistency, micro, regional, pintec, biotechnology, incremental process
    <2015-2019.15 080> diversification, nsi, subsistence, social innovation, technological diversification, innovation, organizational innovation, social, regional innovation, innovation capability
    <2016-2020.15 060> nsi, subsistence, social innovation, innovation, innovation capability, social, export, public support, exporting, rii
    <2017-2021.09 055> nsi, subsistence, social innovation, innovation, informal sector, innovation capability, social, public support, informal, competition

[D36] :: 2011-2015.13 -> 2012-2016.16 -> 2013-2017.13 -> 2014-2018.14 -> 2015-2019.20 -> 2016-2020.19 -> 2017-2021.14 (5)
    See similar trends: D13: 71%, D17: 86%, D18: 86%
    <2011-2015.13 133> ppm, portfolio, stakeholder, change management, nuclear, governance, csfs, front end, risk management, agile
    <2012-2016.16 234> erp, lean, mncs, ppm, portfolio, stakeholder, change management, subsidiary, project, governance
    <2013-2017.13 057> npd, licensing, sustainability, csfs, creativity, npd portfolio, supervision, licensee, npd success, project
    <2014-2018.14 252> evm, ppm, erp, acap, portfolio, pms, stakeholder, knowledge protection, governmentality, project
    <2015-2019.20 221> ppm, erp, certification, megaprojects, pms, stakeholder, governmentality, sustainability, project, msr
    <2016-2020.19 134> ppm, storytelling, certification, megaprojects, sustainability, international development, stakeholder, accountability, project, msr
    <2017-2021.14 089> ppm, megaprojects, sustainability, international development, stakeholder, accountability, project, msr, spm, megaproject

[D37] :: 2011-2015.15 -> 2012-2016.14 -> 2013-2017.08 -> 2014-2018.12 -> 2015-2019.18 -> 2016-2020.17 -> 2017-2021.11 (3)
    See similar trends: D5: 86%, D9: 86%, D23: 86%
    <2011-2015.15 042> knowledge management, knowledge, tacit, tacit knowing, tacit knowledge, knowledge transfer, project, transfer, knowledge manager, tacit knowledge sharing
    <2012-2016.14 057> cop, trust, knowledge sharing, ignorance, change readiness, readiness, community, generosity, knowledge, organisational
    <2013-2017.08 114> cop, alliance, trust, knowledge, knowledge sharing, socialization, ignorance, knowledge creation, lsp, kios
    <2014-2018.12 098> cop, knowledge, trust, ignorance, socialization, knowledge sharing, knowledge breadth, knowledge creation, knowledge management, kios
    <2015-2019.18 097> park, stp, knowledge, knowledge management, motivation, intrinsic motivation, ignorance, social capital, knowledge sharing, knowledge creation
    <2016-2020.17 121> family, park, stp, knowledge, knowledge management, knowledge integration, intrinsic motivation, organizational learning, seci, knowledge sharing
    <2017-2021.11 088> family, erp, knowledge, knowledge integration, intrinsic motivation, knowledge creation, motivation, knowledge sharing behaviour, erm, work family

[D38] :: 2012-2016.10 -> 2013-2017.07 -> 2014-2018.11 -> 2015-2019.17 -> 2016-2020.16 -> 2017-2021.07 (67)
    <2012-2016.10 041> csr, cpa, lsps, alliance, iso, humanitarian, political csr, lsp, diversification, meta
    <2013-2017.07 062> csr, cpa, lsps, humanitarian, iso, mnes, mne, foreign, domestic, political csr
    <2014-2018.11 054> csr, certification, iso, mne, mnes, cpa, csr communication, lsps, political csr, paradox
    <2015-2019.17 036> csr, iso, csr communication, political csr, certification, lsps, paradox, csr reporting, knowledge, mnes
    <2016-2020.16 049> csr, paradox, iso, intuition, csr communication, lto, certification, csr reporting, political csr, cfp
    <2017-2021.07 030> csr, paradox, lto, intuition, political csr, csr reporting, cfp, mnes, returnee, sme

[D39] :: 2013-2017.04 -> 2014-2018.08 -> 2015-2019.10 -> 2016-2020.20 -> 2017-2021.12 (66)
    <2013-2017.04 064> servitization, pkm, big data, city, smes, aging, business model, smart city, text analytics, urban
    <2014-2018.08 065> bda, printing, big data, hearing, pkm, data, oms, service innovation, hearing loss, text analytics
    <2015-2019.10 046> bda, big data, pkm, data, oms, service innovation, tds, analytics, visualization, text analytics
    <2016-2020.20 060> bda, smes, big data, oms, data, service innovation, tds, sme, analytics, visualization
    <2017-2021.12 047> bda, big data, oms, data, sme, visualization, data adoption, analytics, service innovation, big

[D40] :: 2013-2017.04 -> 2014-2018.09 -> 2015-2019.12 -> 2016-2020.23 -> 2017-2021.16 (42)
    <2013-2017.04 064> servitization, pkm, big data, city, smes, aging, business model, smart city, text analytics, urban
    <2014-2018.09 157> gscm, scrm, vmi, scf, scm, cloud, eco, resilience, disaster, logistics
    <2015-2019.12 043> rural, urbanization, urban, smart, smart home, urban logistics, smart city, icts, city, smart infrastructure
    <2016-2020.23 034> smart, icts, smart city, city, urban, smart urban, smart infrastructure, barcelona, smart city development, city development
    <2017-2021.16 034> smart, icts, smart city, city, urban, smart infrastructure, smart urban, barcelona, smart city development, safety

[D41] :: 2013-2017.05 -> 2014-2018.06 -> 2015-2019.18 -> 2016-2020.17 -> 2017-2021.11 (3)
    See similar trends: D15: 80%, D16: 80%
    <2013-2017.05 037> family, exit, motivation, entrepreneurial, career horizon, intrinsic motivation, household, enrichment, wfi, ups
    <2014-2018.06 099> tmt, family, exit, ipo, retirement, ceo, pep, lgbt, activism, board
    <2015-2019.18 097> park, stp, knowledge, knowledge management, motivation, intrinsic motivation, ignorance, social capital, knowledge sharing, knowledge creation
    <2016-2020.17 121> family, park, stp, knowledge, knowledge management, knowledge integration, intrinsic motivation, organizational learning, seci, knowledge sharing
    <2017-2021.11 088> family, erp, knowledge, knowledge integration, intrinsic motivation, knowledge creation, motivation, knowledge sharing behaviour, erm, work family

[D42] :: 2013-2017.07 -> 2014-2018.11 -> 2015-2019.20 -> 2016-2020.21 -> 2017-2021.13 (35)
    See similar trends: D38: 40%
    <2013-2017.07 062> csr, cpa, lsps, humanitarian, iso, mnes, mne, foreign, domestic, political csr
    <2014-2018.11 054> csr, certification, iso, mne, mnes, cpa, csr communication, lsps, political csr, paradox
    <2015-2019.20 221> ppm, erp, certification, megaprojects, pms, stakeholder, governmentality, sustainability, project, msr
    <2016-2020.21 031> institutional, tax, mnes, mne, institutional diversity, home region, taxation, sme, project, grand
    <2017-2021.13 031> institutional, tax, mnes, mne, institutional diversity, home region, taxation, sme, ethnic, project

[D44] :: 2013-2017.13 -> 2014-2018.15 -> 2015-2019.20 -> 2016-2020.19 -> 2017-2021.14 (10)
    See similar trends: D14: 40%, D28: 40%, D29: 40%, D36: 80%
    <2013-2017.13 057> npd, licensing, sustainability, csfs, creativity, npd portfolio, supervision, licensee, npd success, project
    <2014-2018.15 048> npd, licensing, sustainability, npd portfolio, csfs, licensee, npd success, project, portfolio, solution information
    <2015-2019.20 221> ppm, erp, certification, megaprojects, pms, stakeholder, governmentality, sustainability, project, msr
    <2016-2020.19 134> ppm, storytelling, certification, megaprojects, sustainability, international development, stakeholder, accountability, project, msr
    <2017-2021.14 089> ppm, megaprojects, sustainability, international development, stakeholder, accountability, project, msr, spm, megaproject

[C1] :: 2000-2004.00 -> 2001-2005.01 -> 2002-2006.02 -> 2003-2007.01 (24)
    See similar trends: D1: 50%
    <2000-2004.00 150> poverty, charter, income, afdc, schooling, family, school, earnings, college, consumption
    <2001-2005.01 101> income, afdc, family, poverty, wage, work family, financing, relative deprivation, child support, college
    <2002-2006.02 056> ppp, ouchi, pfi, family, work family, financing, family control, public, household, debt
    <2003-2007.01 039> vcs, repurchase, ipo, board, ceo, underpricing, startup, stock, round, equity

[C2] :: 2007-2011.05 -> 2008-2012.08 -> 2009-2013.06 -> 2010-2014.10 -> 2011-2015.11 -> 2012-2016.07 -> 2013-2017.09 (9)
    See similar trends: D21: 43%
    <2007-2011.05 073> delphi, sustainability, foresight, ambidexterity, scenario, mlp, energy, icts, standardisation, corporate foresight
    <2008-2012.08 073> delphi, foresight, sustainability, forest, ambidexterity, scenario, mlp, icts, standardisation, ict development
    <2009-2013.06 092> delphi, foresight, ambidexterity, sustainability, forest, transport, scenario, strategic foresight, icts, ict development
    <2010-2014.10 158> ambidexterity, pkm, policy, subsidiary, design, knowledge creation, smes, innovation, knowledge management, knowledge
    <2011-2015.11 053> policy, design, innovation, product design, ipp, collaboration, innovation policy, regulation, product form, eeg
    <2012-2016.07 069> innovation, regional innovation, policy, process innovation, policy mix, offshore wind, human capital, open innovation, innovation policy, exporting
    <2013-2017.09 042> innovation, open innovation, regional innovation, policy, policy mix, offshore wind, innovation policy, persistency, persistence, wind

[C3] :: 2008-2012.11 -> 2009-2013.08 -> 2010-2014.07 -> 2011-2015.03 -> 2012-2016.04 -> 2013-2017.02 -> 2014-2018.02 -> 2015-2019.01 (8)
    See similar trends: D2: 38%
    <2008-2012.11 058> patent, examiner, patenting, qualcomm, cdma, faculty, citation, diffusion, business method, sipo
    <2009-2013.08 066> patent, university, patenting, usos, grace, opposition, convergence, cdma, sipo, uspto
    <2010-2014.07 087> nanotechnology, patent, university, patenting, grace, opposition, licensing, cdma, sipo, convergence
    <2011-2015.03 033> solar, ecosystem, payment, wind, mobile payment, diffusion, bass, installers, seasonal, solar cell
    <2012-2016.04 084> rebound, energy, solar, emission, niche, carbon trust, fgd, carbon, ret, lifestyle
    <2013-2017.02 125> ets, rebound, paypal, military, ret, energy, emission, mobile, payment, ecosystem
    <2014-2018.02 051> paypal, older, payment, mobile banking, older people, elderly, mobile, mobile payment, banking, cash
    <2015-2019.01 082> legitimacy, nfc, income, inequality, paypal, legitimation, older, payment, mobile banking, older people

[C4] :: 2011-2015.04 -> 2012-2016.06 -> 2013-2017.03 -> 2014-2018.05 (42)
    See similar trends: D21: 25%, D26: 25%
